Time resolution is 1 ps
Time = 0 | Cin = 0 | A =  0, B =  0 | Sum =  0, Cout = 0
Time = 10000 | Cin = 0 | A =  0, B =  1 | Sum =  1, Cout = 0
Time = 20000 | Cin = 0 | A =  0, B =  2 | Sum =  2, Cout = 0
Time = 30000 | Cin = 0 | A =  0, B =  3 | Sum =  3, Cout = 0
Time = 40000 | Cin = 0 | A =  0, B =  4 | Sum =  4, Cout = 0
Time = 50000 | Cin = 0 | A =  0, B =  5 | Sum =  5, Cout = 0
Time = 60000 | Cin = 0 | A =  0, B =  6 | Sum =  6, Cout = 0
Time = 70000 | Cin = 0 | A =  0, B =  7 | Sum =  7, Cout = 0
Time = 80000 | Cin = 0 | A =  0, B =  8 | Sum =  8, Cout = 0
Time = 90000 | Cin = 0 | A =  0, B =  9 | Sum =  9, Cout = 0
Time = 100000 | Cin = 0 | A =  1, B =  0 | Sum =  1, Cout = 0
Time = 110000 | Cin = 0 | A =  1, B =  1 | Sum =  2, Cout = 0
Time = 120000 | Cin = 0 | A =  1, B =  2 | Sum =  3, Cout = 0
Time = 130000 | Cin = 0 | A =  1, B =  3 | Sum =  4, Cout = 0
Time = 140000 | Cin = 0 | A =  1, B =  4 | Sum =  5, Cout = 0
Time = 150000 | Cin = 0 | A =  1, B =  5 | Sum =  6, Cout = 0
Time = 160000 | Cin = 0 | A =  1, B =  6 | Sum =  7, Cout = 0
Time = 170000 | Cin = 0 | A =  1, B =  7 | Sum =  8, Cout = 0
Time = 180000 | Cin = 0 | A =  1, B =  8 | Sum =  9, Cout = 0
Time = 190000 | Cin = 0 | A =  1, B =  9 | Sum =  0, Cout = 1
Time = 200000 | Cin = 0 | A =  2, B =  0 | Sum =  2, Cout = 0
Time = 210000 | Cin = 0 | A =  2, B =  1 | Sum =  3, Cout = 0
Time = 220000 | Cin = 0 | A =  2, B =  2 | Sum =  4, Cout = 0
Time = 230000 | Cin = 0 | A =  2, B =  3 | Sum =  5, Cout = 0
Time = 240000 | Cin = 0 | A =  2, B =  4 | Sum =  6, Cout = 0
Time = 250000 | Cin = 0 | A =  2, B =  5 | Sum =  7, Cout = 0
Time = 260000 | Cin = 0 | A =  2, B =  6 | Sum =  8, Cout = 0
Time = 270000 | Cin = 0 | A =  2, B =  7 | Sum =  9, Cout = 0
Time = 280000 | Cin = 0 | A =  2, B =  8 | Sum =  0, Cout = 1
Time = 290000 | Cin = 0 | A =  2, B =  9 | Sum =  1, Cout = 1
Time = 300000 | Cin = 0 | A =  3, B =  0 | Sum =  3, Cout = 0
